City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,albany,42.6001,-73.9662,24.74,88,100,0.45,US,1720528220
83,ebon,4.582,168.6964,28.65,78,65,5.61,MH,1720528909
84,invercargill,-46.4,168.35,1.68,94,98,1.34,NZ,1720528469
85,tofol,5.3248,163.0078,28.73,77,19,5.45,FM,1720528911
86,bilibino,68.0546,166.4372,7.94,71,77,2.17,RU,1720528263
87,youhao,47.8667,128.8333,17.55,58,100,0.78,CN,1720528913
88,fale old settlement,-9.3852,-171.2468,28.23,76,100,5.32,TK,1720528608
89,semnan,35.5729,53.3971,38.06,11,2,6.34,IR,1720528916
90,college,64.8569,-147.8028,11.18,92,100,2.57,US,1720528475
91,sumbe,-11.2061,13.8437,23.6,67,10,4.37,AO,1720528918
92,sao joao da barra,-21.6403,-41.0511,25.05,74,94,0.42,BR,1720528919
93,port lincoln,-34.7333,135.8667,12.36,86,66,4.36,AU,1720528331
94,thompson,55.7435,-97.8558,16.09,88,100,3.6,CA,1720528569
95,kailua-kona,19.6406,-155.9956,25.98,88,100,0.0,US,1720528807
96,ovalle,-30.5983,-71.2003,9.53,79,2,0.35,CL,1720528924
97,tura,25.5198,90.2201,25.04,98,36,2.58,IN,1720528471
98,greymouth,-42.4667,171.2,7.26,85,92,1.84,NZ,1720528926
99,hawaiian paradise park,19.5933,-154.9731,23.35,92,75,1.54,US,1720528413
100,waounde,15.2637,-12.8682,34.94,40,19,4.63,SN,1720528928
101,timbuktu,16.7735,-3.0074,37.39,30,100,3.89,ML,1720528929
102,wuhai,39.6647,106.8122,32.31,20,99,2.08,CN,1720528621
103,edinburgh of the seven seas,-37.0676,-12.3116,9.1,86,100,8.48,SH,1720528294
104,nicoya,10.1483,-85.452,25.57,94,16,1.03,CR,1720528933
105,chela,34.069,104.4619,16.05,78,100,0.44,CN,1720528934
106,sidney,-33.8679,151.2073,12.98,80,74,0.45,AU,1720528913
107,sechura,-5.5569,-80.8222,18.94,76,29,4.65,PE,1720528340
108,rakops,-21.0167,24.3333,20.96,6,0,2.22,BW,1720528937
109,puerto baquerizo moreno,-0.9,-89.6,21.22,90,90,4.41,EC,1720528408
